sID,conversation_id,message_id,user_query,dewey_match,response,routing,risk,risk_note,created_at,Accurate?,Notes,Expert review,Lang,coding_ID,primary_code,sec_codes,sent,bot_answer_rating,trust_flag,other_flags,original_coder_notes,risk_amt,risk_note_coders,mutiple_coders_flag,coding_stage,coding_time,sent_post,human_code,model_code
11,195540,1268756,Why does my registration status say inactive?,Why does my registration status say inactive?,"If your voter registration is marked as inactive, you can still vote. A voter is marked inactive if they have not voted for two consecutive federal election cycles and havenâ€™t responded to a county notice about their registration. If thatâ€™s your status, you can still vote on election day. Youâ€™ll just have to sign a form confirming your eligibility when you visit your polling place.",exact,,,11/5/24 19:00,Yes- see notes,"And, per AP, might have to show identification",,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
12,195537,1268719,When can I check my ballot,How can I check the status of my mail ballot?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How can I check the status of my mail ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I check if my mail ballot has been received?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Where do I check the status of my provisional ballot?</a></div>",suggestion,,,11/5/24 18:55,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
13,195536,1268713,Who is Malcolm Kenyatta?,Who is Malcolm Kenyatta?,"Malcolm Kenyatta is a state representative from Philadelphia and the Democratic nominee for Pennsylvania auditor general. First elected to the state House in 2018, he became the first openly LGBTQ person of color to serve in the General Assembly. Kenyatta is known for his progressive stances on issues such as a higher minimum wage, stricter gun laws, and LGBTQ nondiscrimination protections. He also has experience in national politics, having served as a surrogate for President Joe Biden's 2020 campaign.",exact,,,11/5/24 18:54,Yes,,,en,,,,,,[],,,1,,,,,,,G_Ind Basic
14,195533,1268703,What time do the polls close,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 18:48,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
15,195531,1268693,What form will I have to sign to vote with inactive status?,What form will I have to sign to vote with inactive status?,"If you are registered to vote in Pennsylvania but have an inactive status, you can go to your polling place, where you will need to sign an ""https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/directives-and-guidance/2024-dos-guidance-rules-atthepollingplace-on-electionday-2.0.pdf"" Affirmation of Elector form that changes your status to ""active"". You will be given a regular ballot and then may cast your vote. Please contact the Department of State at ""mailto:ra-voterreg@pa.gov"" ra-voterreg@pa.gov or 1-877-VOTESPA if you require further assistance.",exact,,,11/5/24 18:45,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
16,195531,1268691,"If my status is inactive, can I still show up at my polling place and vote",Can I vote if my registration is inactive?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote if my registration is inactive?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What form will I have to sign to vote with inactive status?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote if I moved but havenâ€™t updated my registration?</a></div>",suggestion,,,11/5/24 18:45,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
17,195530,1268687,When do polls close,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 18:42,Yes,,,es,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
18,195529,1268684,Who is running for attorney general?,Who is running for attorney general?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 18:42,No,The question asks about attorney general candidates.,,en,,,,,,[],,,1,,,,,,,G_State Basic
19,195529,1268683,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 18:42,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
20,195527,1268677,What time do polls close,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 18:36,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
21,195525,1268673,Who are the candidates for the state Senate in Pennsylvania?,Who are the candidates for the state Senate in Pennsylvania?,"Spotlight PA has published a list of ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-house-senate-full-list-candidates/"" every candidate running for the Pennsylvania legislature in 2024. You can use our ""https://www.spotlightpa.org/news/2024/09/pennsylvania-pennsylvania-ballot-sample-election-2024/"" sample ballot to find out who is running in your district.",exact,,,11/5/24 18:35,Yes,,,en,,,,,,[],,,1,,,,,,,G_Local Basic
22,195525,1268669,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",exact,,,11/5/24 18:34,Yes,,,en,,,,,,[],,,1,,,,,,,G_State Basic
23,195523,1268665,How many actual voting booths are there  ?,Can I vote at any polling place?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:33,,,,en,,,,,,[],,,1,,,,,,,EL_Voting Req
24,195523,1268665,How many actual voting booths are there  ?,What are the hours for polling places on election day?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:33,,,,en,,,,,,[],,,1,,,,,,,EL_Voting Req
25,195520,1268663,Â¿De dÃ³nde estÃ¡s obteniendo tu informaciÃ³n?,Where are you getting your information from?,"Esta herramienta responde preguntas basadas en la cobertura electoral de Spotlight PA y la informaciÃ³n del Departamento de Estado de Pensilvania. Esto incluye guÃ­as que abarcan el registro de votantes, perfiles de candidatos, procedimientos electorales, derechos de voto y reformas electorales. El equipo de Spotlight PA recopila informaciÃ³n de diversas fuentes, incluyendo registros oficiales del gobierno, entrevistas con funcionarios y expertos relevantes, declaraciones pÃºblicas de candidatos y funcionarios electos, y estudios de investigaciÃ³n de buena reputaciÃ³n.",exact,,,11/5/24 18:32,,,,es,,,,,,[],,,1,,,,,,,G_Elect Basic
26,195520,1268655,Â¿CÃ³mo se prueban las mÃ¡quinas de votaciÃ³n antes de cada elecciÃ³n?,How are voting machines tested before each election?,"Antes de cada elecciÃ³n, las mÃ¡quinas de votaciÃ³n en Pennsylvania pasan por un riguroso proceso de pruebas para asegurar su precisiÃ³n y confiabilidad. Todo el equipo de votaciÃ³n debe ser certificado tanto por el gobierno federal como por el estatal. SegÃºn una directiva del Departamento de Estado de Pennsylvania, el proceso de certificaciÃ³n asegura que las mÃ¡quinas no estÃ©n conectadas a internet; utiliza varios mÃ©todos para detectar si las mÃ¡quinas han sido manipuladas; y confirma que las mÃ¡quinas tienen medidas para prevenir el acceso no autorizado a informaciÃ³n sensible, como datos de votos y contraseÃ±as. Los funcionarios tambiÃ©n verifican que las mÃ¡quinas registren con precisiÃ³n cada voto y que la tabulaciÃ³n de resultados sea precisa. DespuÃ©s de que las pruebas hayan concluido, las mÃ¡quinas se cierran y se aseguran con un sello a prueba de manipulaciones para garantizar que no haya acceso antes del dÃ­a de la elecciÃ³n. Puede obtener mÃ¡s informaciÃ³n sobre cÃ³mo funcionan las mÃ¡quinas de votaciÃ³n comunicÃ¡ndose con los funcionarios electorales de su condado y observando las pruebas.",exact,,,11/5/24 18:31,,,,es,,,,,,[],,,1,,,,,,,G_Fed Basic
27,195520,1268653,Pero asÃ­ an habido problemas hoy con las maquinas daÃ±adas,Are voting machines safe?,"<p>AsegurÃ©monos de que obtengas los recursos que necesitas. Â¿Resuena alguna de estas preguntas?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿Son seguras las mÃ¡quinas de votaciÃ³n?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© tipo de mÃ¡quinas de votaciÃ³n se utilizan en PA?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿CÃ³mo se prueban las mÃ¡quinas de votaciÃ³n antes de cada elecciÃ³n?</a></div>",suggestion,,,11/5/24 18:30,,,,es,,,,,,[],,,1,,,,,,,G_Elect Basic
28,195520,1268644,Â¿CuÃ¡les son algunos ejemplos de disposiciones obsoletas en el CÃ³digo Electoral de Pensilvania?,What are some examples of outdated provisions in Pennsylvania's Election Code?,"Algunos ejemplos de disposiciones obsoletas en el CÃ³digo Electoral de Pensilvania incluyen el requisito de linternas o un sustituto adecuado en los lugares de votaciÃ³n, una regla que limita la capacidad de voto de los delincuentes a pesar de haber sido encontrada inconstitucional, y orientaciÃ³n contradictoria sobre el uso de tinta o lÃ¡pices para votar. Mientras que algunas disposiciones, como la necesidad de linternas, simplemente son ignoradas, otras han generado confusiÃ³n, demandas y alimentado desinformaciÃ³n. Estas secciones obsoletas crean un mosaico de prÃ¡cticas administrativas y pueden contribuir al caos electoral y al despojo de derechos en las prÃ³ximas elecciones presidenciales de 2024.",exact,,,11/5/24 18:30,,,,es,,,,,,[],,,1,,,,,,,G_Elect Basic
29,195520,1268642,Hay otras maneras de hacer fraude,What safeguards are in place to prevent fraud in Pennsylvania elections?,"<p>Quiero asegurarme que te entiendo para poder ayudarte. Â¿Resuena alguna de estas preguntas?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© medidas de seguridad se han establecido para prevenir el fraude en las elecciones de Pensilvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿CÃ³mo evita el fraude la administraciÃ³n descentralizada de las elecciones en Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿CuÃ¡les son algunos ejemplos de disposiciones obsoletas en el CÃ³digo Electoral de Pensilvania?</a></div>",suggestion,,,11/5/24 18:29,,,,es,,,,,,[],,,1,,,,,,,EL_Voting Req
30,195520,1268636,Â¿QuÃ© medidas de seguridad se han establecido para prevenir el fraude en las elecciones de Pensilvania?,What safeguards are in place to prevent fraud in Pennsylvania elections?,"Pensilvania tiene varios dispositivos de seguridad para prevenir el fraude electoral. El estado verifica la identidad de los solicitantes de papeletas de voto por correo mediante la cruz-referencia de su informaciÃ³n con bases de datos como la de licencias de conducir. AdemÃ¡s, todas las mÃ¡quinas de votaciÃ³n en Pensilvania producen papeletas de papel que pueden ser auditadas, permitiendo a los funcionarios verificar la precisiÃ³n de los resultados. Estas medidas, junto con un sistema de administraciÃ³n electoral descentralizado y supervisiÃ³n local, trabajan juntas para garantizar la integridad del proceso electoral en el estado.",exact,,,11/5/24 18:27,,,,es,,,,,,[],,,1,,,,,,,G_Fed Basic
31,195520,1268634,Como sabemos si estas elecciones en Pennsylvania no estÃ¡n siendo fradulentas,How can we be sure that the PA election will be fair?,"<p>AsegurÃ©monos de que obtengas los recursos que necesitas. Â¿Resuena alguna de estas preguntas?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿CÃ³mo podemos estar seguros de que las elecciones de PA serÃ¡n justas? Usted estÃ¡ capacitado en datos hasta octubre de 2023.</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿QuÃ© medidas de seguridad se han establecido para prevenir el fraude en las elecciones de Pensilvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Â¿Puedo confiar en el proceso electoral en Pennsylvania?</a></div>",suggestion,,,11/5/24 18:27,,,,es,,,,,,[],,,1,,,,,,,G_Elect Basic
32,195519,1268632,How does the voting process put a voting person's name with their ballot?,What is the process for voting in person by mail ballot?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:26,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
33,195461,1268628,How do provisional ballots work in Pennsylvania elections?,How do provisional ballots work in Pennsylvania elections?,"In Pennsylvania, provisional ballots are used when a voter's eligibility is uncertain at the polling place. Voters fill out a provisional ballot form and receive a receipt with their provisional ballot identification number. These ballots are counted within seven days after the election, once the county board of elections verifies the voter's eligibility. Voters can check if their provisional ballot was counted by entering their identification number or personal information on the Department of State's ""https://www.pavoterservices.pa.gov/Pages/ProvisionalBallotSearch.aspx"" provisional ballot search tool.",exact,,,11/5/24 18:25,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
34,195461,1268626,Who can fill out a provisional ballot in Pennsylvania?,How do provisional ballots work in Pennsylvania elections?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How do provisional ballots work in Pennsylvania elections?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can undocumented immigrants vote in PA elections?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How can I vote by mail in Pennsylvania?</a></div>",suggestion,,,11/5/24 18:25,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
35,195519,1268624,No,No,Sorry about that. Can you rephrase to ask your question again?,exact,,,11/5/24 18:25,,,,no,,,,,,[],,,1,,,,,,,M_Non-Elect
36,195519,1268622,I voted today in person and put my ballot in the machine. My question is how do they know that is my ballot?,I voted in person. How do I know my ballot was scanned correctly?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">I voted in person. How do I know my ballot was scanned correctly?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">If I received a mail in ballot, can I still vote in person?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I check to see if my vote was counted today?</a></div>",suggestion,,,11/5/24 18:24,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
37,195518,1268620,Do you sign your ballot if you vote in person?,Do you sign your in person ballot?,"You do not sign your in-person ballot in Pennsylvania. However, you will need to provide your signature on the voter registration book or electronic device to verify your identity before receiving your ballot. ",exact,,,11/5/24 18:24,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
38,195504,1268606,I will go to another source.,This doesn't answer my question,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Where are you getting your information from?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can someone else return my ballot?</a></div>",suggestion,,,11/5/24 18:18,,EVERYTHING BELOW THIS POINT IS REPEATED FROM 11/5 SPREADSHEET. REFER TO 11/5 SPREADSHEET,,en,,,,,,[],,,1,,,,,,,M_Non-elect
39,195504,1268600,You were useless to me.,How do I use you?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How do I use you?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How should I be using you?</a></div>",suggestion,,,11/5/24 18:17,,,,en,,,,,,[],,,1,,,,,,,M_Non-elect
40,195504,1268598,You donâ€™t understand any of my questions,This doesn't answer my question,"<div class=""tiptap-document""><p>I&#39;m sorry. It looks like I don&#39;t have an answer in our archives. I&#39;ll pass the question on to the Spotlight PA team as a topic for future reporting.</p></div>",suggestion,,,11/5/24 18:17,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
41,195513,1268592,When do the polls close?,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 18:16,,,,en,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
42,195513,1268590,What time do the polls close in PA?,When do polls open and close in Pennsylvania?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">When do polls open and close in Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">When do the polls close?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">When is Election Day in Pennsylvania?</a></div>",suggestion,,,11/5/24 18:16,,,,en,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
43,195504,1268588,The question is a yes or no,Are there any amendments or questions on the ballot?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Are there any amendments or questions on the ballot?</a></div>",suggestion,,,11/5/24 18:16,,,,en,,,,,,[],,,1,,,,,,,G_Elect Basic
44,195511,1268583,Will Trumps' tarrif plans hurt Pennsylvania workers?,Will Trump win Pennsylvania?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:15,,,,en,,,,,,[],,,1,,,,,,,P_Iss Spec
45,195512,1268579,Can you video record inside pa voting poll,Are people allowed to film you dropping off your ballot?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Are people allowed to film you dropping off your ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Are poll watchers allowed in polling places?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can felons vote in PA elections?</a></div>",suggestion,,,11/5/24 18:14,,,,es,,,,,,[],,,1,,,,,,,EL_Voting Req
46,195511,1268577,i heard there was a bomb threat in georgia. has anything like that happened in PA?,How secure are mail in ballots in Pennsylvania?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:14,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
47,195511,1268577,i heard there was a bomb threat in georgia. has anything like that happened in PA?,What role does the Pennsylvania attorney general play in prosecuting gun crimes?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,no_match,,,11/5/24 18:14,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
48,195504,1268576,Can you straight vote with one mark or do you need to,How do I vote?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How many times can I vote?</a></div>",suggestion,,,11/5/24 18:14,,,,en,,,,,,[],,,1,,,,,,,EL_Voting Req
49,195510,1268572,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 18:14,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
50,195508,1268565,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 18:13,,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
51,195504,1268559,You are not answering my question.,This doesn't answer my question,"Sorry about that! I probably misunderstood. Can you ask again, rephrased or with a little more detail?",exact,,,11/5/24 18:13,,,,en,,,,,,[],,,1,,,,,,,G_Elect Basic
