coding_ID,sID,conversation_id,message_id,user_query,dewey_match,response,created_at,primary_code,sec_codes,sent,bot_answer_rating,trust_flag,other_flags,coder_notes,risk_amt,risk_note,coder_name,mutiple_coders_flag,coding_stage,coding_time
12,"2,721","188,031","1,217,570",Can my mail-in ballot be cured?,Can my mail-in ballot be cured?,"Whether you can â€œcureâ€ your mail ballot depends on where you live. Some Pennsylvania counties do some form of outreach to voters who made a mistake on their mail ballot (like failing to date the return envelope) and give them the opportunity to fix it. Other counties claim this isnâ€™t lawful and do not allow it. ""https://www.vote.pa.gov/Resources/Pages/Contact-Your-Election-Officials.aspx"" Contact your county election office to learn about its policy.",10/25/24 13:05,[EL],[Mail-in],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
13,950,"194,991","1,265,958",What will be on my ballot in Chester County?,What will be on my ballot in Chester County?,"What will be on the ballot depends on where you live. Some counties provide a sample ballot online. To confirm, you can check the ""https://www.chesco.org/"" Chester County website.",11/5/24 10:08,[G],[Elect Basic],,"[Exact, Accept]",,[DISTRICT],,,,mifranz1057@gmail.com,True,1.0,18:55:32
14,455,"195,088","1,266,395",Are the pools working in Cambria Co yet,What will be on my ballot in Cambria County?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,11/5/24 11:15,[EL],[Polling Loc/Time],,"[No Match, Should Ans]",,[DISTRICT],"should only be able to answer if it can figure out that pools probably means polls, but not sure I should be coding based on my intepretation (ie, my assumptions about spelling errors) or on what the literal question is",,,mifranz1057@gmail.com,True,1.0,18:55:04
15,458,"195,082","1,266,369",Can I vote outside of my polling place,Can I vote in different location from my registration?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote in different location from my registration?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote at any polling place?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I drop my ballot in a drop box outside my county?</a></div>",11/5/24 11:10,[EL],[Polling Loc/Time],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
16,"1,193","194,771","1,264,980",did not receive mail in ballot,I never received my mail ballot. How should I vote on election day?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">I never received my mail ballot. How should I vote on election day?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I requested a mail ballot but havenâ€™t gotten it. What should I do?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I lost my mail ballot. What do I do?</a></div>",11/5/24 7:40,[EL],[Mail-in],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
17,"1,750","193,616","1,258,251",What is being so one to keep illegals from voting,Can illegal immigrants vote in PA elections?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Why are there efforts to require voter identification at the time of voting?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Has there been any verified evidence of noncitizens voting in federal elections?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What is being done by the state to counter voter suppression?</a></div>",11/4/24 6:46,[EL],[Voter Reg],,"[Suggestion, Align]",[FLAG],,not sure about secondary code here,,,mifranz1057@gmail.com,True,1.0,12/05/2024
18,"1,437","194,247","1,261,963",How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",11/4/24 19:55,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
19,"1,166","194,791","1,265,076",Can you wear a candidates shirt or hat when you vote,Can I vote on Election Day if I haven't registered yet?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,11/5/24 7:48,[EL],[Polling Loc/Time],,"[No Match, Should Ans]",,,"polling loc/time was closest to this, but i don't think it is right because they aren't asking ""where is my polling place"" or ""what time to polls open/close"" it's more about polling logisitcs, which might be a good category - questions about what can you wear, what do you need to bring, etc. ",,,mifranz1057@gmail.com,True,1.0,12/05/2024
20,"1,990","192,384","1,248,847",No can I take as much time in the booth tom vote as I need,Can committee people spend time in the polling place?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,11/1/24 21:28,[EL],[Polling Loc/Time],,"[No Match, Should Ans]",,,"another one that i think is more polling logistics (how long can i spend in the polling booth?), but also i am answering on my interpretation, not the actual question",,,mifranz1057@gmail.com,True,1.0,12/05/2024
21,365,"195,193","1,266,913",Yes but is there a code,Is there a specific time I need to vote?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,11/5/24 12:50,[M],[Oth],,"[No Match, Approp]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
22,"1,167","194,794","1,265,075",Can I still vote if Iâ€™m not registered,Can I vote on Election Day if I haven't registered yet?,"You cannot vote on Election Day in Pennsylvania if you have not registered to vote. To be eligible, you must register by the deadline, which was Oct. 21 for the Nov. 5 election.",11/5/24 7:48,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
23,"1,320","194,555","1,263,858",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/5/24 0:20,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
24,"1,494","194,158","1,261,449",How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",11/4/24 18:17,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
25,"2,536","190,034","1,231,585",How to correct a mistake on mail in ballot,Can I correct a mail in ballot once it is mailed?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I correct a mail in ballot once it is mailed?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I made a mistake in filling out my ballot. What do I do?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I lost my mail ballot. What do I do?</a></div>",10/28/24 18:01,[EL],[Mail-in],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
26,923,"195,032","1,266,141",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/5/24 10:37,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
27,"1,718","193,681","1,258,725",who is running for treasurer,Who is running for treasurer?,"In the upcoming election for Pennsylvania treasurer, Republican incumbent Stacy Garrity faces Democrat Erin McClelland, Nickolas Ciesielski of the Libertarian Party, Chris Foster of the Forward Party, and Troy Bowman of the Constitution Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-treasurer-candidates-quiz/"" PA treasurer candidate quiz to see which major party candidate for Pennsylvania treasurer most closely aligns with what matters to you.",11/4/24 8:57,[G],[State Basic],,"[Exact, Accept]",,,"the user didn't specify state treasurer, but i'm assuming that is the only one they could be asking about",,,mifranz1057@gmail.com,True,1.0,12/05/2024
28,"1,935","192,676","1,251,048",Who is running in the 12th congressional district?,Who is running in the 12th congressional district?,Summer Lee is the Democratic incumbent and James Hayes is the Republican candidate running to represent Pennsylvania's 12th Congressional District in the U.S. House of Representatives.,11/2/24 14:28,[G],[House Basic],,"[Exact, Accept]",,[DISTRICT],,,,mifranz1057@gmail.com,True,1.0,18:56:28
29,142,"195,419","1,268,118",How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",11/5/24 16:39,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
30,"1,974","192,557","1,250,146",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/2/24 9:42,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
31,425,"195,126","1,266,586",May I bring my cell phone to vote? I want to look at notes I have about candidates I want to vote for.,What do I need to bring to vote?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I need to bring to vote?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">May I take photos in the polling place?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Will my mobile student ID be valid to vote?</a></div>",11/5/24 11:52,[EL],[Polling Loc/Time],,"[Suggestion, Not Align]",,,another one that is more about polling logisitics/rules; also i think the bot sort of understood the question but not exactly about the cellphones (what do you need to bring to vote instead of what are you allowed/not allowed at the pollin gplace?,,,mifranz1057@gmail.com,True,1.0,12/05/2024
32,187,"195,374","1,267,924",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/5/24 16:03,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
33,"3,197","178,579","1,140,656",Who is running in the congressional election?,Who is running in the congressional election?,"All 17 members of Pennsylvaniaâ€™s U.S. House delegation, including nine Democrats and eight Republicans, are seeking reelection in 2024. The specific candidates listed on your ballot will depend on where you live. To find your U.S. House district in Pennsylvania, you can use the General Assembly's ""https://www.legis.state.pa.us/cfdocs/legis/home/findyourlegislator/"" Find Your Legislator tool. Once you input your address, the tool will show you which districts you live in and provide you with the names of your current representatives in the state House, state Senate, U.S. House, and U.S. Senate.",10/6/24 18:28,[G],[House Basic],,"[Exact, Not Accept]",,,"Not accept just b/c ""congressional election"" should include senate too i think and there was one senate seat up for grabs ",,,mifranz1057@gmail.com,True,1.0,12/05/2024
34,"3,301","173,837","1,098,523",What are the opinions of the attorney general candidates about abortion?,What are the main policy positions of the attorney general candidates?,Let's make sure you get the resources you need. Do one of these questions resonate? What are the main policy positions of the attorney general candidates? Who are the candidates for attorney general? What is the difference between attorney general candidates?,9/27/24 11:04,[P],[Cand Comp],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
35,"2,649","189,711","1,229,472",How do I vote by mail?,How do I vote by mail?,"To vote by mail in Pennsylvania, you need to first apply for a mail-in ballot. You can apply for a mail ballot ""https://www.pavoterservices.pa.gov/OnlineAbsenteeApplication/#/OnlineMailInBegin"" online, in person at your county election office, or through the mail. Paper applications are also available for download in Spanish and Chinese, in addition to English. Applications must be received by your county election board by 5 p.m. on October 29 for the November 5 general election. Once approved, you will receive your ballot, which you must then complete. Each mail ballot comes with instructions that voters must read carefully. The best way to ensure your vote counts is to follow the instructions on your mail ballot, especially when it comes to correctly dating your ballot. You must return your own ballot, unless you have officially ""https://www.pa.gov/content/dam/copapwp-pagov/en/vote/resources/documents-and-forms/Authorize-Designated-Agent-for-Mail-in-or-Absentee-Ballot.pdf"" designated another person to do so on your behalf. There are several methods for returning your ballot, but the most important thing to remember is that your county election board must receive your ballot by 8 p.m. on Election Day.  If youâ€™re returning your ballot in person or using a drop box, you must use a location in your county. If you deliver your ballot to another county, it wonâ€™t be counted. After you return your ballot, you can track its status ""https://www.pavoterservices.pa.gov/pages/ballottracking.aspx"" online.",10/28/24 9:28,[EL],[Mail-in],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
36,273,"195,282","1,267,371",How can I participate in elections in Pennsylvania?,How can I participate in elections in Pennsylvania?,"To participate in elections in Pennsylvania, you must first be a registered voter. You can register online, by mail, or in person at designated locations. The registration deadline for the upcoming election was Oct. 21. Once registered, you can vote in person on Election Day, vote by mail, or use an ""https://www.pa.gov/en/agencies/vote/voter-support/accessible-voting/alternative-ballot.html"" alternative ballot if you qualify. For mail voting, you need to request a ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot.html"" mail ballot by Oct. 29. Ensure you follow all instructions carefully to have your vote counted. Visit ""https://vote.pa.gov"" vote.pa.gov for more details on the voting process.",11/5/24 14:18,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
37,"2,224","191,601","1,243,458",Who is in a contested race in PA State House,Who is running for PA House?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is running for PA House of Representatives?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is running for PA Senate?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is on the ballot in PA?</a></div>",10/31/24 10:12,[EA],[Polling Fore],,"[Suggestion, Not Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
38,"1,454","194,214","1,261,793",Bob goodrich top priorities and issues?,"What are Alan ""Bob"" Goodrich's top priorities and issues?","Spotlight PA does not have information about Alan ""Bob"" Goodrich's campaign other than his affiliation with the Constitution Party.",11/4/24 19:30,[P],[Cand Pos],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
39,321,"195,238","1,267,166",No,No,Sorry about that. Can you rephrase to ask your question again?,11/5/24 13:32,[M],[Oth],,"[Exact, Accept]",,,might be one involved in a larger convo?,,,mifranz1057@gmail.com,True,1.0,12/05/2024
40,"1,676","193,751","1,259,167",Were any candidates at January 6 rally?,Who are the candidates for attorney general?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Do any candidates have Donald Trump's endorsement?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How many candidates are running for the Pennsylvania House of Representatives?</a></div>",11/4/24 10:28,[G],[Cand Hist],,"[Suggestion, Not Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
41,115,"195,453","1,268,274",Do I need to show ID to vote in Pennsylvania?,Do I need to show ID to vote in Pennsylvania?,"In Pennsylvania, you are required to show ""https://www.pa.gov/en/agencies/vote/voter-support/new-voters.html"" proof of identification only if you are voting for the first time, or voting at your designated polling place for the first time. Acceptable forms of ID include a Pennsylvania driver's license, a U.S. passport, or any identification that includes your name and address. If you have voted at that polling place before, you do not need to present ID to vote.",11/5/24 17:13,[EL],[Voting Accessibility],,"[Exact, Accept]",,,another one that might be more polling logisitics/rules,,,mifranz1057@gmail.com,True,1.0,12/05/2024
42,"3,021","183,253","1,180,367",How do we stop the steal?,Was the 2020 election stolen?,"According to the official results and numerous court rulings, there is no evidence to support the claim that the 2020 election was stolen. To ensure the integrity of future elections, it's important to rely on verified information and credible sources. Pennsylvania has several safeguards in place to prevent election fraud, including identity verification for ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot.html"" mail ballot applicants and audit-capable voting machines. If you suspect election fraud, you can report it to the Pennsylvania Department of State or contact your county board of elections.",10/16/24 16:37,[EL],[Rec/Res],,"[Near, ?]",[FLAG],,,4.0,"The output is mostly accurate and aligns well with the context. It correctly states that there is no evidence to support the claim that the 2020 election was stolen and mentions the safeguards in place to prevent election fraud in Pennsylvania. However, it omits the specific details about reporting election fraud, such as using the online complaint form or contacting the county board of elections. These omissions are minor but notable.",mifranz1057@gmail.com,True,1.0,12/05/2024
43,"1,068","194,891","1,265,472",can I have a sign for a candidate outside a polling place,Can I wait outside my polling place before it opens?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I wait outside my polling place before it opens?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I drop my mail in ballot off at my polling place?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Are poll watchers allowed in polling places?</a></div>",11/5/24 8:58,[EL],[Polling Loc/Time],,"[Suggestion, Not Align]",,,another voting logistics/rules one,,,mifranz1057@gmail.com,True,1.0,12/05/2024
44,"2,161","191,786","1,244,660",What if I leave some questions blank,What happens if I forgot to date my mail-in ballot?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What happens if I forgot to date my mail-in ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What happens if I incorrectly dated my mail ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What if I get the wrong ballot on Election Day?</a></div>",10/31/24 16:26,[EL],[Polling Loc/Time],,"[Suggestion, Not Align]",,,doesn't quite fit in any categories - would it fit in a voting rules categorie?,,,mifranz1057@gmail.com,True,1.0,12/05/2024
45,"1,209","194,741","1,264,850",Who is running against Bob Casey,Who is running against Bob Casey for the U.S. Senate?,"Bob Casey, the incumbent Democrat, is facing Republican Dave McCormick in the race for the U.S. Senate. Additionally, third-party candidates in the race include Leila Hazou from the Green Party, Marty Selker from the Constitution Party, and John C. Thomas from the Libertarian Party. Read Spotlight PA's ""https://www.spotlightpa.org/news/2024/09/pennsylvania-election-2024-us-senate-candidates-bob-casey-dave-mccormick-third-parties/"" complete guide to the candidates for U.S. Senate for more information.",11/5/24 7:14,[G],[Fed Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
46,"1,733","193,667","1,258,609",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/4/24 8:27,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
47,"1,810","193,276","1,255,530",Where can I find a sample ballot?,Where can I find a sample ballot?,"You can find your complete ballot by ""https://www.vote.pa.gov/Resources/Pages/Contact-Your-Election-Officials.aspx"" contacting your county election office. Some counties may include a sample ballot on their website. You can also use ""https://www.spotlightpa.org/news/2024/09/pennsylvania-pennsylvania-ballot-sample-election-2024/"" Spotlight PA's sample ballot. ",11/3/24 15:00,[G],[Elect Basic],,"[Exact, Accept]",,,"did elect basic just bc its like ""who is on the ballot"" but i think this actually falls under election logisitcs and maybe adding a category there that is like ""who is on the ballot/how do i find who is on my ballot"", or just finding another existing category to put these qs into ",,,mifranz1057@gmail.com,True,1.0,12/05/2024
48,459,"195,076","1,266,342",Can I vote at any polling place?,Can I vote at any polling place?,"No, you must vote at your designated polling place in Pennsylvania. If you arrive at the wrong polling location, you will need to go to the correct one to cast your vote. However, if you believe you are eligible to vote at the wrong location, you may request to vote using a provisional ballot, which will be counted if election officials confirm your eligibility. You can ""https://www.pa.gov/en/services/vote/find-your-local-polling-place.html"" find your polling place online on the Department of State website.",11/5/24 11:06,[EL],[Polling Loc/Time],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
49,"3,321","173,837","1,098,517",Who is the Republican candidate for Pennsylvania Attorney General,Who is running for PA attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Richard Weiss of the Green Party, Eric Settle of the Forward Party, and Justin Magill of the Constitution Party.",9/27/24 11:02,[G],[State Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
50,"2,496","190,247","1,233,067",What is the process for voting in person by mail ballot?,What is the process for voting in person by mail ballot?,"Pennsylvania does not offer early voting at polling places. It does, however, have a similar option. Pennsylvania refers to this option as voting in person by mail ballot, and itâ€™s available before Election Day. With this option, voters can visit their county elections office, apply for a mail ballot, fill it out, and return it on the spot. Use ""https://www.pa.gov/en/agencies/vote/voter-support/ballot-availability.html"" this link to see if your county has finalized mail ballots and made them available. All registered voters can vote by mail before Election Day. If you wish to cast your vote in person, you will need to do so on Election Day at your designated polling place. Be sure to check the hours of operation, as polls are open from 7 a.m. to 8 p.m. on that day.",10/29/24 0:04,[EL],[Mail-in],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
